track_id,rmse.kurtosis.01,rmse.max.01,rmse.mean.01,rmse.median.01,rmse.min.01,rmse.skew.01,rmse.std.01
28362,2.85978508,22.25935173,4.2936415672,2.6442074776,2.0184197638e-05,1.5303522348,3.8816270828
21945,-0.79524469376,9.0767087936,3.4526538849,3.6316585541,0.0,-0.0069992425852,1.910271883
12926,6.7900676727,3.9224228859,0.52271264791,0.41106879711,4.6227050916e-06,2.2424032688,0.46991252899
21232,3.1039390564,14.215056419,7.1034126282,7.360294342,0.0,-1.158316493,1.799939394
17132,-0.81767511368,9.9950990677,3.585524559,3.7609956264,0.0,-0.24258430302,1.9798057079
37015,-0.75985574722,9.4877004623,2.9885830879,3.0233883858,0.00044620796689,0.054206982255,1.6273667812
13439,0.58954691887,12.486935616,3.3154587746,3.0920670033,0.02469153516,0.72370028496,1.8069472313
7852,9.3229112625,15.92848587,9.3714904785,9.5036849976,5.9137932112e-05,-2.3008708954,1.9939771891
3498,0.73719859123,5.6041502953,1.9760494232,1.959761858,8.8944498202e-06,0.17478480935,0.80946856737
44103,2.182882309,10.535481453,6.1636590958,6.3014554977,7.4993207818e-05,-0.93297487497,1.5803427696
1803,1.9630699158,15.000980377,8.8494939804,9.1398124695,0.0,-0.94709289074,2.1056582928
38749,-0.20357680321,3.343142271,1.2071815729,1.2550603151,9.0895873655e-06,-0.26858708262,0.50796967745
35613,2.0365586281,24.05988121,6.348151207,5.6766629219,0.00029744362109,1.172221303,3.7872238159
36729,2.8453421593,12.451844215,7.356669426,7.720117569,5.8391698985e-05,-1.4607486725,2.0687401295
20571,0.69906163216,10.14406395,2.6504426003,2.2367904186,0.0,1.1668528318,2.0782392025
28407,2.1291594505,16.761648178,2.3219568729,1.4567539692,0.0,1.4598474503,2.5363612175
30917,-0.96156191826,17.032251358,5.7031326294,4.3579974174,0.0,0.64593440294,4.7752308846
15208,4.7260427475,15.547996521,3.8937933445,3.3989548683,0.0,1.9866931438,2.664273262
36123,-0.2271270752,11.840760231,4.7206072807,4.6752238274,0.0025364260655,0.19910956919,2.1457149982
17781,3.6794214249,5.53211689,0.89053988457,0.75034224987,0.0,1.5943493843,0.68787282705
1685,-0.60312700272,9.68359375,2.8045604229,2.8782987595,0.0,0.26077622175,1.7283967733
71847,-0.25322771072,14.823859215,7.4057426453,7.9652047157,2.4556376843e-07,-0.55313074589,2.5453569889
23453,0.5779645443,23.395811081,6.6095647812,6.7868323326,0.00013117137132,0.87213754654,4.7786512375
32898,0.83745765686,18.677043915,3.8240952492,3.5038802624,0.0,0.86689507961,2.8637261391
34664,1.2826247215,19.542264938,6.485183239,6.2613987923,0.0,0.79524946213,3.3255152702
15364,-0.31677746773,13.129393578,3.9943609238,3.684648037,0.0,0.50229907036,2.5210313797
14294,0.23558354378,18.00053978,7.6566200256,7.8280963898,0.0088745672256,-0.018156806007,3.4198474884
4385,2.2315988541,9.009806633,2.3700664043,2.32056427,2.866216164e-05,0.81095677614,1.1570644379
40840,3.208791256,15.929243088,5.2017760277,5.1286506653,0.032938398421,0.72132945061,1.9878437519
38690,2.6272878647,19.471393585,5.2219204903,4.8324484825,0.0,1.3424853086,3.4821288586
18619,1.8609652519,11.274595261,4.7902293205,4.8618431091,0.00039731897414,-0.40027278662,1.4591121674
49474,1.1738071442,12.383561134,3.0322756767,2.8729851246,0.0010089172283,0.77544170618,1.7099080086
33270,2.7709288597,20.913396835,7.2282476425,7.2375450134,3.5152013879e-05,0.98224872351,3.3468298912
14721,2.2419075966,16.774793625,5.3740534782,5.3845329285,3.9404643758e-05,0.76432752609,1.8957396746
627,-0.17168545723,5.5305233002,2.1324977875,1.9549090862,0.0,0.34069162607,1.0683997869
13647,0.63697099686,5.9227972031,1.6103593111,1.4909267426,0.024204619229,0.83193814754,1.0195534229
6527,1.0053730011,7.4281363487,2.5728690624,2.5057659149,2.6235169571e-05,0.43540400267,0.88161587715
97138,0.077159643173,17.776519775,5.7859840393,4.7351403236,0.00032897607889,0.94547069073,3.6233763695
30615,1.9705810547,11.428137779,6.594145298,6.730255127,0.032292455435,-0.73964768648,1.7259430885
65892,0.34991645813,9.0489196777,3.025128603,2.9596059322,0.00031055865111,0.31320387125,1.2862437963
31342,0.67866110802,5.2465724945,1.600584507,1.5817368031,5.8660378954e-07,0.30938082933,0.60576444864
9844,6.6501760483,9.5104503632,1.6946684122,1.5174410343,1.2727385183e-05,1.8911808729,0.9586712122
14525,-0.9501824379,4.6334075928,2.1012756824,1.8723601103,0.0,0.14334270358,1.1606669426
22096,0.4028699398,5.8650522232,1.2530097961,0.85840964317,0.0010664156871,1.1552464962,1.0623611212
75386,-0.56183314323,12.529701233,7.0462141037,7.2430324554,0.00029669975629,-0.3773496449,2.6986005306
36126,1.2654700279,15.964344025,4.7406024933,4.5752382278,0.00054439069936,0.57216966152,2.1600208282
22235,0.57566022873,10.476222038,5.4317274094,5.5385723114,4.4137093937e-05,-0.57602107525,1.8521339893
48014,-0.78677248955,13.356477737,5.2094569206,5.1627230644,0.0,0.11906778812,2.3822758198
