track_id,social_features.artist_discovery,social_features.artist_familiarity,social_features.artist_hotttnesss,social_features.song_currency,social_features.song_hotttnesss
28362,0.262086911,0.148808,0.273797,0.0,0.0
21945,0.2725427426,0.100723,0.28472,0.0,0.0
12926,0.1182696896,0.163611,0.123554,0.00025,0.03855
21232,0.1790758593,0.035024,0.187077,0.0001666667,0.041556
17132,0.2102432929,0.167889,0.219637,0.00175,0.132899
37015,0.3434467396,0.295153,0.358792,0.0,0.0
13439,0.4220166587,0.474398,0.488703,0.0,0.0
7852,0.2774571653,0.26078,0.289854,0.00025,0.040883
3498,0.4403366801,0.367764,0.460011,8.33333e-05,0.052116
44103,0.2529415283,0.223059,0.264243,0.0,0.0
1803,0.1053767484,0.162315,0.110085,0.0,0.0
38749,0.427020344,0.532286,0.53775,0.0006662469,0.255386
35613,0.6355643906,0.416715,0.67931,0.0,0.0
36729,0.1652419603,0.059185,0.172625,0.00025,0.042655
20571,0.3533406767,0.217694,0.369128,0.0,0.0
28407,0.121133724,0.215253,0.126546,0.0,0.0
30917,0.4256805199,0.282872,0.4447,0.0,0.030228
15208,0.3658701922,0.605975,0.516945,0.0,0.0
36123,0.447806909,0.288478,0.467815,0.0,0.081344
17781,0.4223148965,0.319167,0.441184,0.0,0.0
1685,0.123510528,0.223577,0.129029,0.0,0.0
71847,0.3044156553,0.28787,0.318017,0.0,0.0
23453,0.2990609064,0.202287,0.312423,0.001,0.093527
32898,0.4757638788,0.401951,0.498346,0.0002682119,0.124259
34664,0.2597761559,0.233473,0.271383,0.0,0.0
15364,0.4350039475,0.348152,0.45444,0.0004761905,0.14592
14294,0.1257667209,0.04744,0.131386,0.0,0.0
4385,0.2692776285,0.255724,0.281309,0.0,0.0
40840,0.3163666813,0.225453,0.330502,0.000125,0.039431
38690,0.3805365599,0.342664,0.397539,0.0,0.0
18619,0.5275480604,0.355465,0.551119,0.000197561,0.14716
49474,0.172396303,0.087924,0.180099,0.00075,0.086653
33270,0.2340859967,0.27252,0.244545,0.0,0.0
14721,0.3733132966,0.33001,0.389993,0.0,0.0
627,0.4239993671,0.403155,0.444855,0.0,0.0
13647,0.4843972358,0.428994,0.526546,9.52381e-05,0.0
6527,0.1274131578,0.264004,0.133106,0.0,0.0
97138,0.2464199151,0.115814,0.25743,0.0,0.0
30615,0.1713739806,0.153663,0.179031,0.0,0.0
65892,0.2497644794,0.139683,0.260924,0.0,0.0
31342,0.4436123238,0.394455,0.463433,0.0,0.0
9844,0.3025863873,0.262887,0.316106,0.0,0.0
14525,0.3311788701,0.29173,0.345976,0.0,0.0
22096,0.3389132947,0.247009,0.354056,2.5e-05,0.04028
75386,0.5017238889,0.330945,0.524141,3.125e-05,0.04609
36126,0.447806909,0.288478,0.467815,0.0,0.0
22235,0.5049118698,0.428878,0.548758,7.5e-05,0.088599
48014,0.442742201,0.364919,0.462524,0.0,0.0
123429,0.490114528,0.504152,0.592231,0.0047618388,0.388393
50831,0.1950214093,0.160119,0.203735,0.0,0.0
38788,0.4811577646,0.46778,0.552014,0.0,0.0
617,0.4239993671,0.403155,0.444855,0.0,0.0
33256,0.4243666105,0.479656,0.495097,0.0002962963,0.119739
110751,0.3366274276,0.291877,0.351668,0.0,0.0
14175,0.2742188536,0.229161,0.286471,0.0,0.0
27606,0.455493472,0.360845,0.475845,0.0,0.0
3605,0.3877942836,0.293734,0.405121,0.0,0.0
36991,0.321546257,0.286968,0.335913,0.0,0.0
25368,0.4824098438,0.338704,0.503964,0.0,0.031118
91716,0.4255800107,0.308961,0.444595,0.0003461538,0.143882
50334,0.2493720148,0.230464,0.260514,0.0,0.0
14994,0.2610569307,0.206125,0.272721,0.0,0.0
8497,0.3279194994,0.265446,0.342571,4.54545e-05,0.037729
19924,0.2043381363,0.223263,0.213468,0.0,0.0
36990,0.321546257,0.286968,0.335913,0.0,0.0
11758,0.2546262544,0.140939,0.266003,0.0,0.0
14337,0.1872247648,0.282711,0.19559,0.0,0.0
14822,0.3510213066,0.25773,0.366705,0.0,0.0
23040,0.129840695,0.077169,0.135642,0.00075,0.088599
54282,0.3870715743,0.276223,0.404366,0.0,0.0
39426,0.4322107482,0.35119,0.451522,0.0001,0.04028
29952,0.1780018464,0.214126,0.185955,0.0,0.0
8513,0.401642541,0.352017,0.419588,0.0001153846,0.086626
11957,0.119242236,0.175687,0.12457,0.0,0.0
37730,0.427020344,0.532286,0.53775,0.0007852564,0.229026
39746,0.2673258349,0.25354,0.27927,0.0,0.0
6004,0.1236378397,0.032486,0.129162,0.0,0.0
35537,0.3701132742,0.317271,0.38665,0.0,0.0
75034,0.4876805754,0.528757,0.610926,0.0079876346,0.318507
13834,0.1822471648,0.166961,0.19039,0.00025,0.043971
36385,0.4242877491,0.317721,0.443245,0.0003903226,0.158634
108209,0.294404936,0.058444,0.307559,0.000125,0.044046
47935,0.2525404486,0.331413,0.263824,0.0,0.0
58606,0.4377064995,0.418789,0.469166,0.0,0.0
36961,0.3559826336,0.305406,0.371888,0.0,0.0
23139,0.2578502076,0.11352,0.269371,0.0,0.0
26310,0.4410551614,0.450669,0.494035,0.0001512605,0.089889
6355,0.3036163676,0.315622,0.317182,0.0,0.0
38771,0.2629359747,0.263318,0.274684,0.0,0.0
100872,0.4044261681,0.354112,0.422496,0.0,0.0
8207,0.2444212173,0.251543,0.255342,0.0,0.0
99026,0.5117459586,0.487938,0.60412,0.0004689922,0.260634
75393,0.5017238889,0.330945,0.524141,0.0,0.0
20700,0.44573946,0.533586,0.562412,0.0008235294,0.173074
46637,0.1739068132,0.069592,0.181677,0.0005,0.061021
35528,0.3701132742,0.317271,0.38665,0.0,0.0
32296,0.2858693092,0.314731,0.298642,0.0,0.0
32134,0.3950204186,0.338676,0.41267,0.0,0.0
48398,0.2926953218,0.163549,0.305773,0.0,0.0
31363,0.5024347683,0.449687,0.562019,0.000253886,0.173074
1187,0.2762185087,0.251526,0.28856,0.0,0.0
5624,0.4605801963,0.357818,0.481159,0.0,0.0
23836,0.323906788,0.239703,0.338379,0.0,0.0
27612,0.276651177,0.159868,0.289012,0.0,0.0
33576,0.486697292,0.422343,0.524229,0.0,0.0
4039,0.3802953378,0.378442,0.397287,0.0,0.0
3264,0.4048243761,0.2379,0.422912,1.65289e-05,0.063842
10484,0.4435252158,0.361999,0.463342,0.0,0.0
17348,0.2731400546,0.180782,0.285344,0.0,0.0
17944,0.3181519167,0.327593,0.332367,0.0,0.0
38781,0.3278008028,0.291611,0.342447,0.0,0.0
24468,0.1670214523,0.179654,0.174484,0.0,0.0
27607,0.455493472,0.360845,0.475845,0.0002368421,0.121594
38520,0.337977123,0.382461,0.353078,0.0,0.0
38684,0.3805365599,0.342664,0.397539,8.33333e-05,0.039431
51424,0.3991441687,0.301683,0.416978,0.0003168317,0.1222
4770,0.4455961266,0.712848,0.765897,0.0044315277,0.288992
10215,0.2428618883,0.192305,0.253713,0.0,0.0
48154,0.2625952005,0.23423,0.274328,0.0,0.0
16100,0.2587107581,0.17808,0.27027,0.0,0.0
19390,0.4453564881,0.44185,0.492781,0.0005355191,0.204939
31160,0.509726338,0.390131,0.532501,0.0020571429,0.163928
5078,0.4751875377,0.374792,0.496419,2.23881e-05,0.086237
19072,0.4809942437,0.474145,0.556801,0.0003769634,0.214845
47174,0.1593521194,0.015813,0.166472,0.0005,0.065194
30488,0.1956311653,0.246433,0.204372,0.0,0.0
34372,0.0964295125,0.047962,0.100738,0.0,0.0
14876,0.4442580312,0.422206,0.478427,0.0,0.0
114201,0.4998343153,0.283629,0.522167,0.0006864407,0.184425
663,0.16408754,0.214879,0.171419,0.0,0.0
5967,0.4803026795,0.542354,0.614041,0.0,0.0
45610,0.2990609064,0.202287,0.312423,0.00225,0.133806
404,0.3151845013,0.174392,0.329267,0.0,0.0
55918,0.4256806004,0.464633,0.486212,0.0,0.0
8025,0.365889972,0.331165,0.382238,0.0005,0.0598
29953,0.1780018464,0.214126,0.185955,0.0,0.0
77376,0.3293247142,0.285315,0.344039,0.0,0.0
16036,0.3358310116,0.258643,0.350836,0.0,0.0
20000,0.3177929552,0.281518,0.331992,0.0,0.0
823,0.3980577118,0.335244,0.415843,0.0,0.0
72053,0.4704350783,0.406196,0.495629,0.0,0.089848
52228,0.3302867311,0.168196,0.345044,0.0,0.0
48193,0.3437654974,0.174914,0.359125,0.0004,0.061021
28405,0.121133724,0.215253,0.126546,0.00025,0.040604
12648,0.4605801963,0.357818,0.481159,1.02041e-05,0.051768
16623,0.4239795208,0.333703,0.442923,0.0001666667,0.04028
40879,0.0768349988,0.11205,0.080268,0.00025,0.040883
6465,0.4388893472,0.37407,0.458499,0.0,0.0
115358,0.366985044,0.325918,0.383382,0.0,0.0
49580,0.4820527967,0.34753,0.503591,0.0,0.0
50210,0.0870993843,0.041613,0.090991,0.0,0.0
1699,0.413261408,0.386032,0.431726,4.44444e-05,0.0
1748,0.1198175317,0.133237,0.125171,0.0,0.0
35377,0.3222775813,0.284111,0.336677,0.0,0.0
12050,0.4435252158,0.361999,0.463342,0.0,0.0
48150,0.2625952005,0.23423,0.274328,0.0,0.0
38541,0.3261725533,0.299446,0.340746,0.0001666667,0.043313
42746,0.3934199288,0.313579,0.410998,1.38889e-05,0.03855
39065,0.1997300274,0.266948,0.208654,0.00025,0.04028
46262,0.2887094129,0.293669,0.301609,0.0,0.0
