track_id,file,album.title,artist.name,track.genre1
28362,fma_large/028/028362.mp3,Explicit Beats,4di,Electronic
21945,fma_large/021/021945.mp3,Accelerating To the Sun [EAR010],Wrexsoul,Electronic
12926,fma_large/012/012926.mp3,Baroque Song Recital,Jody Pou,Classical
21232,fma_large/021/021232.mp3,ccMixter,Alex077,Pop
17132,fma_large/017/017132.mp3,LP1,Love Story In Blood Red,Folk
37015,fma_large/037/037015.mp3,Hanging from the Purgatory's Pendulum,Meczûp,Electronic
13439,fma_large/013/013439.mp3,netBloc Vol. 06: Maniacally toying with your listening habits,Allison Crowe,Pop
7852,fma_large/007/007852.mp3,Live at WFMU on Pat Duncan's Show on 11/13/2008,The Boardlords,Rock
3498,fma_large/003/003498.mp3,Live at WFMU on Liz Berg's Show on 3/24/2008,Citay,Rock
44103,fma_large/044/044103.mp3,City Sunsets,Jimmy Cousins,Country
1803,fma_large/001/001803.mp3,New Numbers,Glove Compartment,Rock
38749,fma_large/038/038749.mp3,Live at WFMU on Stork's Show on 11/1/1997,Bardo Pond,Rock
35613,fma_large/035/035613.mp3,Sunday Brunch With Stan,Stan,Pop
36729,fma_large/036/036729.mp3,Ekleipsi Net-Label Halloween Compilation,Darrell Waters,Rock
20571,fma_large/020/020571.mp3,WM x 100 / 100 x WM,Nambavan,Pop
28407,fma_large/028/028407.mp3,Ask No Lies,Rob Steady,Electronic
30917,fma_large/030/030917.mp3,The Rain Book,Digi G'Alessio,Electronic
15208,fma_large/015/015208.mp3,Da Interview EP,Seven,Hip-Hop
36123,fma_large/036/036123.mp3,Shouting At The Wind,Eaters,Rock
17781,fma_large/017/017781.mp3,Live at the Gardner Museum's Tapestry Room,Eroica Trio,Classical
1685,fma_large/001/001685.mp3,"Zanzibar, New York",The Sounds of Taraab,International
71847,fma_large/071/071847.mp3,"Live at WFMU on 100% Whatever with Mary Wing - October 4, 2012",Life In A Blender,Pop
23453,fma_large/023/023453.mp3,Kickstart,Tom Woxom,Electronic
32898,fma_large/032/032898.mp3,Colours of the Brainbow,Globular,Electronic
34664,fma_large/034/034664.mp3,Zehu,51%,International
15364,fma_large/015/015364.mp3,first tour EP (2005),Gowns,Folk
14294,fma_large/014/014294.mp3,S ljubavlju,Zornjak,Rock
4385,fma_large/004/004385.mp3,Live at WFMU on Keili's Show 10/26/2008 w/ Bonne Aparte and Adept,The Moi Non Plus,Rock
40840,fma_large/040/040840.mp3,La Valise aux Mille Voyages,Echo Lali,Pop
38690,fma_large/038/038690.mp3,Grossmutter,Debmaster,Electronic
18619,fma_large/018/018619.mp3,The Taxpayers: Live at KBOO,The Taxpayers,Rock
49474,fma_large/049/049474.mp3,netBloc Vol. 33: You can get with this...,Hip Nothings,Pop
33270,fma_large/033/033270.mp3,Bad Panda #29,Hi Tiger,Electronic
